model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,lagged_30m_price_change,0.023575022643662187,0.0077008936547783525,3.061335956643687,102,0.0028169471009684495,0.008300336593227854,0.03884970869409652
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,yes_price_t,-0.0046793847025626435,0.001704364491988865,-2.7455305039253393,102,0.0071413794412559725,-0.0080599835911714,-0.001298785813953888
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,log_lagged_30m_volume,-5.767166788012164e-06,4.70602540865946e-06,-1.2254856884963092,102,0.2232144378998875,-1.5101545872449622e-05,3.5672122964252936e-06
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,log_minutes_to_kickoff,0.00010556663491932614,1.8236706794939456e-05,5.788689597653676,102,7.876197259568879e-08,6.939421346098304e-05,0.00014173905637766924
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,expanding_log_abs_large_net_flow,0.011415131892025981,0.0006909736229248283,16.520358394734043,102,1.3539006585342386e-30,0.010044588987208822,0.01278567479684314
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,expanding_log_abs_ordinary_net_flow,0.0055109123345448065,0.0010215948251512024,5.394420761410139,102,4.47456904511256e-07,0.0034845838427534077,0.007537240826336205
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,absolute_lagged_30m_price_change,2.386010313396654,0.8959153505888496,2.6632095452192264,102,0.008996046463281913,0.6089664634899432,4.163054163303365
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,yes_price_t,-0.16404738512518047,0.23018664026913055,-0.7126711825385648,102,0.4776764112384648,-0.6206214946681115,0.29252672441775057
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,log_lagged_30m_volume,0.004438483127138383,0.0011053558322432983,4.015433761389368,102,0.00011353250980167323,0.0022460150749329675,0.006630951179343799
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,log_minutes_to_kickoff,-0.018505990072236397,0.003158744222900031,-5.858654188608573,102,5.7526741023598685e-08,-0.024771344261160053,-0.012240635883312742
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,expanding_signed_log_large_net_flow,0.0003478058286052136,2.7516581736842192e-05,12.639863189821043,101,1.584910298885754e-22,0.00029322033232041285,0.00040239132489001435
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,expanding_signed_log_ordinary_net_flow,0.00017127855369717163,3.1144743015244626e-05,5.49943705149003,101,2.881158970431568e-07,0.00010949576140093606,0.00023306134599340722
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,lagged_30m_price_change,0.10370815521073509,0.025827525706595696,4.015411944174375,101,0.00011420609159291783,0.05247329173874463,0.15494301868272556
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,yes_price_t,-0.09378192237752546,0.032063473300200776,-2.9248834491345708,101,0.0042551438410842355,-0.15738722842331818,-0.030176616331732742
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,log_lagged_30m_volume,-6.446274506859904e-05,7.136762216248596e-05,-0.9032491641914836,101,0.3685429140589018,-0.00020603690975452512,7.711141961732704e-05
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,log_minutes_to_kickoff,0.00035465891476524315,0.00019842110271987468,1.7874052200281367,101,0.07687140175107661,-3.895517832685721e-05,0.0007482730078573435
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,rolling7_signed_log_large_net_flow,0.00010298819287490021,8.701094115478608e-06,11.836234789334341,102,7.371656849072659e-21,8.572961395312146e-05,0.00012024677179667896
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,rolling7_signed_log_ordinary_net_flow,2.4449828251705795e-05,3.3514747590244073e-06,7.29524463398405,102,6.630277020352707e-11,1.780219395821206e-05,3.1097462545199534e-05
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,lagged_30m_price_change,0.023536542855852622,0.007700876795782204,3.05634585255846,102,0.0028602028486343694,0.008261890245157213,0.03881119546654803
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,yes_price_t,-0.004700248303657112,0.0017046368256395353,-2.7573311997960044,102,0.006906139828775049,-0.0080813873647707,-0.0013191092425435236
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,log_lagged_30m_volume,-5.599720590132968e-06,4.698106290249862e-06,-1.19191015361961,102,0.23606225330891237,-1.4918392140753519e-05,3.718950960487582e-06
