specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
expanding,73,2680256,1,1.0,22,2,2,65,0.09090909090909091,1.0
rolling_7d,73,2680256,0,0.0,2490,137,87,2950,0.05502008032128514,0.635036496350365
rolling_7d,73,2680256,0,1.0,466,299,223,879,0.6416309012875536,0.745819397993311
rolling_7d,73,2680256,1,0.0,7,0,0,9,0.0,
rolling_7d,73,2680256,1,1.0,20,2,2,63,0.1,1.0
expanding,73,2680257,0,0.0,10218,515,294,12003,0.05040125269132903,0.570873786407767
expanding,73,2680257,0,1.0,1412,725,473,3655,0.5134560906515581,0.6524137931034483
expanding,73,2680257,1,0.0,14,1,1,18,0.07142857142857142,1.0
expanding,73,2680257,1,1.0,83,11,9,250,0.13253012048192772,0.8181818181818182
rolling_7d,73,2680257,0,0.0,10495,561,333,12349,0.053454025726536444,0.5935828877005348
rolling_7d,73,2680257,0,1.0,1135,679,434,3309,0.5982378854625551,0.6391752577319587
rolling_7d,73,2680257,1,0.0,22,2,2,31,0.09090909090909091,1.0
rolling_7d,73,2680257,1,1.0,75,10,8,237,0.13333333333333333,0.8
expanding,74,2690979,0,0.0,17205,1104,342,17866,0.06416739319965127,0.30978260869565216
expanding,74,2690979,0,1.0,2471,1412,930,5730,0.5714285714285714,0.6586402266288952
expanding,74,2690979,1,0.0,57,5,4,60,0.08771929824561403,0.8
expanding,74,2690979,1,1.0,118,14,10,407,0.11864406779661017,0.7142857142857143
rolling_7d,74,2690979,0,0.0,17742,1234,442,18457,0.06955247435463871,0.3581847649918963
rolling_7d,74,2690979,0,1.0,1934,1282,830,5139,0.6628748707342296,0.6474258970358814
rolling_7d,74,2690979,1,0.0,72,7,6,76,0.09722222222222222,0.8571428571428571
rolling_7d,74,2690979,1,1.0,103,12,8,391,0.11650485436893204,0.6666666666666666
expanding,74,2690981,0,0.0,3544,115,58,3641,0.03244920993227991,0.5043478260869565
expanding,74,2690981,0,1.0,754,417,302,1205,0.553050397877984,0.7242206235011991
expanding,74,2690981,1,0.0,1,0,0,1,0.0,
expanding,74,2690981,1,1.0,30,2,2,37,0.06666666666666667,1.0
rolling_7d,74,2690981,0,0.0,3631,123,64,3735,0.033874965574221975,0.5203252032520326
rolling_7d,74,2690981,0,1.0,667,409,296,1111,0.6131934032983508,0.7237163814180929
rolling_7d,74,2690981,1,0.0,3,0,0,4,0.0,
rolling_7d,74,2690981,1,1.0,28,2,2,34,0.07142857142857142,1.0
expanding,74,2690983,0,0.0,8078,270,152,8426,0.03342411487992077,0.562962962962963
expanding,74,2690983,0,1.0,1313,716,484,2223,0.5453160700685453,0.6759776536312849
expanding,74,2690983,1,0.0,24,2,1,31,0.08333333333333333,0.5
expanding,74,2690983,1,1.0,29,2,1,49,0.06896551724137931,0.5
rolling_7d,74,2690983,0,0.0,8242,289,160,8614,0.03506430478039311,0.5536332179930796
rolling_7d,74,2690983,0,1.0,1149,697,476,2035,0.6066144473455178,0.6829268292682927
rolling_7d,74,2690983,1,0.0,26,2,1,33,0.07692307692307693,0.5
rolling_7d,74,2690983,1,1.0,27,2,1,47,0.07407407407407407,0.5
expanding,76,2690992,0,0.0,10101,441,261,10519,0.04365904365904366,0.5918367346938775
expanding,76,2690992,0,1.0,1472,739,477,2474,0.5020380434782609,0.645466847090663
expanding,76,2690992,1,0.0,28,4,1,28,0.14285714285714285,0.25
expanding,76,2690992,1,1.0,67,7,4,156,0.1044776119402985,0.5714285714285714
rolling_7d,76,2690992,0,0.0,10389,495,298,10835,0.04764654923476754,0.602020202020202
rolling_7d,76,2690992,0,1.0,1184,685,440,2158,0.5785472972972973,0.6423357664233577
rolling_7d,76,2690992,1,0.0,37,4,1,38,0.10810810810810811,0.25
rolling_7d,76,2690992,1,1.0,58,7,4,146,0.1206896551724138,0.5714285714285714
expanding,76,2690994,0,0.0,3073,137,85,3182,0.04458184184835665,0.6204379562043796
expanding,76,2690994,0,1.0,551,262,180,796,0.47549909255898365,0.6870229007633588
expanding,76,2690994,1,0.0,6,1,0,6,0.16666666666666666,0.0
expanding,76,2690994,1,1.0,13,0,0,18,0.0,
rolling_7d,76,2690994,0,0.0,3149,144,89,3264,0.04572880279453795,0.6180555555555556
rolling_7d,76,2690994,0,1.0,475,255,176,714,0.5368421052631579,0.6901960784313725
rolling_7d,76,2690994,1,0.0,7,1,0,9,0.14285714285714285,0.0
rolling_7d,76,2690994,1,1.0,12,0,0,15,0.0,
expanding,76,2690996,0,0.0,4566,218,130,4767,0.04774419623302672,0.5963302752293578
expanding,76,2690996,0,1.0,645,280,164,905,0.43410852713178294,0.5857142857142857
expanding,76,2690996,1,0.0,7,0,0,7,0.0,
expanding,76,2690996,1,1.0,20,4,2,42,0.2,0.5
rolling_7d,76,2690996,0,0.0,4656,223,130,4858,0.04789518900343643,0.5829596412556054
rolling_7d,76,2690996,0,1.0,555,275,164,814,0.4954954954954955,0.5963636363636363
rolling_7d,76,2690996,1,0.0,9,0,0,10,0.0,
rolling_7d,76,2690996,1,1.0,18,4,2,39,0.2222222222222222,0.5
expanding,82,2690999,0,0.0,9347,392,173,9771,0.041938589921900075,0.4413265306122449
expanding,82,2690999,0,1.0,1447,730,530,2930,0.5044920525224602,0.726027397260274
expanding,82,2690999,1,0.0,18,1,1,19,0.05555555555555555,1.0
expanding,82,2690999,1,1.0,61,11,8,1127,0.18032786885245902,0.7272727272727273
rolling_7d,82,2690999,0,0.0,9636,432,197,10083,0.0448318804483188,0.45601851851851855
rolling_7d,82,2690999,0,1.0,1158,690,506,2618,0.5958549222797928,0.7333333333333333
rolling_7d,82,2690999,1,0.0,27,1,1,32,0.037037037037037035,1.0
rolling_7d,82,2690999,1,1.0,52,11,8,1114,0.21153846153846154,0.7272727272727273
expanding,82,2691003,0,0.0,2054,51,25,2114,0.024829600778967866,0.49019607843137253
expanding,82,2691003,0,1.0,312,117,89,407,0.375,0.7606837606837606
expanding,82,2691003,1,0.0,5,1,0,5,0.2,0.0
expanding,82,2691003,1,1.0,8,1,1,12,0.125,1.0
rolling_7d,82,2691003,0,0.0,2104,57,28,2171,0.02709125475285171,0.49122807017543857
rolling_7d,82,2691003,0,1.0,262,111,86,350,0.42366412213740456,0.7747747747747747
rolling_7d,82,2691003,1,0.0,6,1,0,6,0.16666666666666666,0.0
rolling_7d,82,2691003,1,1.0,7,1,1,11,0.14285714285714285,1.0
expanding,82,2691004,0,0.0,3519,114,61,3752,0.03239556692242114,0.5350877192982456
expanding,82,2691004,0,1.0,458,159,124,771,0.3471615720524017,0.779874213836478
expanding,82,2691004,1,0.0,5,0,0,5,0.0,
expanding,82,2691004,1,1.0,25,2,2,46,0.08,1.0
rolling_7d,82,2691004,0,0.0,3582,120,65,3826,0.03350083752093802,0.5416666666666666
rolling_7d,82,2691004,0,1.0,395,153,120,697,0.38734177215189874,0.7843137254901961
rolling_7d,82,2691004,1,0.0,9,0,0,9,0.0,
rolling_7d,82,2691004,1,1.0,21,2,2,42,0.09523809523809523,1.0
expanding,75,2707623,0,0.0,11863,461,279,13028,0.03886032200960971,0.6052060737527115
expanding,75,2707623,0,1.0,1642,896,671,3570,0.5456760048721072,0.7488839285714286
expanding,75,2707623,1,0.0,40,3,3,40,0.075,1.0
expanding,75,2707623,1,1.0,92,14,12,163,0.15217391304347827,0.8571428571428571
rolling_7d,75,2707623,0,0.0,12248,553,347,13467,0.04515022860875245,0.6274864376130199
rolling_7d,75,2707623,0,1.0,1257,804,603,3131,0.639618138424821,0.75
rolling_7d,75,2707623,1,0.0,55,4,4,55,0.07272727272727272,1.0
rolling_7d,75,2707623,1,1.0,77,13,11,148,0.16883116883116883,0.8461538461538461
expanding,75,2707625,0,0.0,1694,56,28,1844,0.03305785123966942,0.5
expanding,75,2707625,0,1.0,299,121,81,551,0.40468227424749165,0.6694214876033058
