specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
rolling_7d,28,1897117,0,1.0,1115,587,488,5658,0.526457399103139,0.8313458262350937
rolling_7d,28,1897117,1,0.0,34,8,7,50,0.23529411764705882,0.875
rolling_7d,28,1897117,1,1.0,34,3,3,497,0.08823529411764706,1.0
expanding,29,1897118,0,0.0,13072,842,416,15115,0.0644124847001224,0.49406175771971494
expanding,29,1897118,0,1.0,1896,1089,754,5115,0.5743670886075949,0.6923783287419651
expanding,29,1897118,1,0.0,69,5,3,73,0.07246376811594203,0.6
expanding,29,1897118,1,1.0,86,9,8,10430,0.10465116279069768,0.8888888888888888
rolling_7d,29,1897118,0,0.0,13125,866,432,15257,0.06598095238095238,0.49884526558891457
rolling_7d,29,1897118,0,1.0,1843,1065,738,4973,0.5778621812262615,0.6929577464788732
rolling_7d,29,1897118,1,0.0,72,5,3,79,0.06944444444444445,0.6
rolling_7d,29,1897118,1,1.0,83,9,8,10424,0.10843373493975904,0.8888888888888888
expanding,29,1897119,0,0.0,4368,230,56,4662,0.052655677655677656,0.24347826086956523
expanding,29,1897119,0,1.0,692,416,309,1241,0.6011560693641619,0.7427884615384616
expanding,29,1897119,1,0.0,4,1,1,6,0.25,1.0
expanding,29,1897119,1,1.0,35,3,3,52,0.08571428571428572,1.0
rolling_7d,29,1897119,0,0.0,4384,232,56,4678,0.05291970802919708,0.2413793103448276
rolling_7d,29,1897119,0,1.0,676,414,309,1225,0.6124260355029586,0.7463768115942029
rolling_7d,29,1897119,1,0.0,4,1,1,6,0.25,1.0
rolling_7d,29,1897119,1,1.0,35,3,3,52,0.08571428571428572,1.0
expanding,29,1897120,0,0.0,4166,253,149,4588,0.06072971675468075,0.5889328063241107
expanding,29,1897120,0,1.0,786,338,226,4212,0.4300254452926209,0.6686390532544378
expanding,29,1897120,1,0.0,19,2,1,20,0.10526315789473684,0.5
expanding,29,1897120,1,1.0,47,5,3,840,0.10638297872340426,0.6
rolling_7d,29,1897120,0,0.0,4186,262,152,4622,0.06258958432871477,0.5801526717557252
rolling_7d,29,1897120,0,1.0,766,329,223,4178,0.42950391644908614,0.6778115501519757
rolling_7d,29,1897120,1,0.0,20,2,1,21,0.1,0.5
rolling_7d,29,1897120,1,1.0,46,5,3,839,0.10869565217391304,0.6
expanding,30,1897121,0,0.0,3108,87,34,3231,0.027992277992277992,0.39080459770114945
expanding,30,1897121,0,1.0,493,214,148,683,0.4340770791075051,0.6915887850467289
expanding,30,1897121,1,0.0,11,0,0,18,0.0,
expanding,30,1897121,1,1.0,6,0,0,7,0.0,
rolling_7d,30,1897121,0,0.0,3134,92,34,3261,0.029355456285896617,0.3695652173913043
rolling_7d,30,1897121,0,1.0,467,209,148,653,0.4475374732334047,0.7081339712918661
rolling_7d,30,1897121,1,0.0,11,0,0,18,0.0,
rolling_7d,30,1897121,1,1.0,6,0,0,7,0.0,
expanding,30,1897122,0,0.0,2481,62,30,2694,0.024989923417976623,0.4838709677419355
expanding,30,1897122,0,1.0,384,200,161,513,0.5208333333333334,0.805
expanding,30,1897122,1,0.0,4,0,0,4,0.0,
expanding,30,1897122,1,1.0,15,3,3,19,0.2,1.0
rolling_7d,30,1897122,0,0.0,2494,64,30,2707,0.02566158781074579,0.46875
rolling_7d,30,1897122,0,1.0,371,198,161,500,0.5336927223719676,0.8131313131313131
rolling_7d,30,1897122,1,0.0,4,0,0,4,0.0,
rolling_7d,30,1897122,1,1.0,15,3,3,19,0.2,1.0
expanding,30,1897123,0,0.0,12065,492,304,12904,0.040779113137173646,0.6178861788617886
expanding,30,1897123,0,1.0,1336,723,590,3466,0.5411676646706587,0.8160442600276625
expanding,30,1897123,1,0.0,34,1,1,50,0.029411764705882353,1.0
expanding,30,1897123,1,1.0,51,5,5,2473,0.09803921568627451,1.0
rolling_7d,30,1897123,0,0.0,12128,528,334,13015,0.04353562005277045,0.6325757575757576
rolling_7d,30,1897123,0,1.0,1273,687,560,3355,0.5396700706991359,0.8151382823871907
rolling_7d,30,1897123,1,0.0,34,1,1,50,0.029411764705882353,1.0
rolling_7d,30,1897123,1,1.0,51,5,5,2473,0.09803921568627451,1.0
expanding,31,1897124,0,0.0,7146,310,148,7495,0.04338091239854464,0.4774193548387097
expanding,31,1897124,0,1.0,995,433,327,1531,0.43517587939698493,0.7551963048498845
expanding,31,1897124,1,0.0,24,0,0,25,0.0,
expanding,31,1897124,1,1.0,34,6,4,55,0.17647058823529413,0.6666666666666666
rolling_7d,31,1897124,0,0.0,7171,315,151,7523,0.043926927904058014,0.4793650793650794
rolling_7d,31,1897124,0,1.0,970,428,324,1503,0.44123711340206184,0.7570093457943925
rolling_7d,31,1897124,1,0.0,24,0,0,25,0.0,
rolling_7d,31,1897124,1,1.0,34,6,4,55,0.17647058823529413,0.6666666666666666
expanding,31,1897125,0,0.0,2633,84,46,2760,0.03190277250284846,0.5476190476190477
expanding,31,1897125,0,1.0,663,272,225,1101,0.41025641025641024,0.8272058823529411
expanding,31,1897125,1,0.0,4,0,0,5,0.0,
expanding,31,1897125,1,1.0,25,8,8,40,0.32,1.0
rolling_7d,31,1897125,0,0.0,2643,85,47,2777,0.03216042376087779,0.5529411764705883
rolling_7d,31,1897125,0,1.0,653,271,224,1084,0.41500765696784075,0.8265682656826568
rolling_7d,31,1897125,1,0.0,4,0,0,5,0.0,
rolling_7d,31,1897125,1,1.0,25,8,8,40,0.32,1.0
expanding,31,1897126,0,0.0,2373,155,113,2752,0.0653181626632954,0.7290322580645161
expanding,31,1897126,0,1.0,566,157,123,1015,0.2773851590106007,0.7834394904458599
expanding,31,1897126,1,0.0,8,2,2,8,0.25,1.0
expanding,31,1897126,1,1.0,34,5,3,47,0.14705882352941177,0.6
rolling_7d,31,1897126,0,0.0,2380,157,115,2767,0.06596638655462185,0.732484076433121
rolling_7d,31,1897126,0,1.0,559,155,121,1000,0.2772808586762075,0.7806451612903226
rolling_7d,31,1897126,1,0.0,8,2,2,8,0.25,1.0
rolling_7d,31,1897126,1,1.0,34,5,3,47,0.14705882352941177,0.6
expanding,32,1897127,0,0.0,9347,416,236,10190,0.04450625869262865,0.5673076923076923
expanding,32,1897127,0,1.0,1079,489,333,4488,0.4531974050046339,0.6809815950920245
expanding,32,1897127,1,0.0,32,4,3,36,0.125,0.75
expanding,32,1897127,1,1.0,79,18,18,2058,0.22784810126582278,1.0
rolling_7d,32,1897127,0,0.0,9391,425,237,10235,0.04525609626237887,0.5576470588235294
rolling_7d,32,1897127,0,1.0,1035,480,332,4443,0.463768115942029,0.6916666666666667
rolling_7d,32,1897127,1,0.0,34,4,3,38,0.11764705882352941,0.75
rolling_7d,32,1897127,1,1.0,77,18,18,2056,0.23376623376623376,1.0
expanding,32,1897130,0,0.0,2545,89,24,2640,0.034970530451866405,0.2696629213483146
expanding,32,1897130,0,1.0,379,158,109,561,0.41688654353562005,0.689873417721519
expanding,32,1897130,1,0.0,4,1,1,5,0.25,1.0
expanding,32,1897130,1,1.0,9,0,0,16,0.0,
rolling_7d,32,1897130,0,0.0,2552,89,24,2647,0.03487460815047022,0.2696629213483146
rolling_7d,32,1897130,0,1.0,372,158,109,554,0.42473118279569894,0.689873417721519
rolling_7d,32,1897130,1,0.0,4,1,1,5,0.25,1.0
rolling_7d,32,1897130,1,1.0,9,0,0,16,0.0,
expanding,32,1897133,0,0.0,2400,102,53,2591,0.0425,0.5196078431372549
expanding,32,1897133,0,1.0,359,147,97,557,0.40947075208913647,0.6598639455782312
expanding,32,1897133,1,1.0,11,0,0,20,0.0,
rolling_7d,32,1897133,0,0.0,2407,103,54,2598,0.04279185708350644,0.5242718446601942
rolling_7d,32,1897133,0,1.0,352,146,96,550,0.4147727272727273,0.6575342465753424
rolling_7d,32,1897133,1,1.0,11,0,0,20,0.0,
expanding,33,1897144,0,0.0,10812,632,270,11437,0.058453570107288196,0.4272151898734177
expanding,33,1897144,0,1.0,1254,686,438,3677,0.5470494417862839,0.6384839650145773
expanding,33,1897144,1,0.0,34,8,7,59,0.23529411764705882,0.875
expanding,33,1897144,1,1.0,55,7,4,4428,0.12727272727272726,0.5714285714285714
rolling_7d,33,1897144,0,0.0,10862,642,270,11491,0.05910513717547413,0.4205607476635514
rolling_7d,33,1897144,0,1.0,1204,676,438,3623,0.5614617940199336,0.6479289940828402
rolling_7d,33,1897144,1,0.0,34,8,7,59,0.23529411764705882,0.875
rolling_7d,33,1897144,1,1.0,55,7,4,4428,0.12727272727272726,0.5714285714285714
expanding,33,1897145,0,0.0,3433,92,39,3667,0.026798718322167202,0.42391304347826086
expanding,33,1897145,0,1.0,543,312,235,1256,0.574585635359116,0.7532051282051282
expanding,33,1897145,1,0.0,5,0,0,5,0.0,
expanding,33,1897145,1,1.0,14,2,2,20,0.14285714285714285,1.0
rolling_7d,33,1897145,0,0.0,3446,95,40,3681,0.027568195008705745,0.42105263157894735
rolling_7d,33,1897145,0,1.0,530,309,234,1242,0.5830188679245283,0.7572815533980582
rolling_7d,33,1897145,1,0.0,6,0,0,6,0.0,
rolling_7d,33,1897145,1,1.0,13,2,2,19,0.15384615384615385,1.0
expanding,33,1897146,0,0.0,3962,99,44,4106,0.024987380111055023,0.4444444444444444
expanding,33,1897146,0,1.0,642,331,224,2428,0.5155763239875389,0.676737160120846
expanding,33,1897146,1,0.0,3,0,0,4,0.0,
expanding,33,1897146,1,1.0,17,3,2,36,0.17647058823529413,0.6666666666666666
rolling_7d,33,1897146,0,0.0,3979,101,45,4124,0.02538326212616235,0.44554455445544555
rolling_7d,33,1897146,0,1.0,625,329,223,2410,0.5264,0.6778115501519757
rolling_7d,33,1897146,1,0.0,3,0,0,4,0.0,
rolling_7d,33,1897146,1,1.0,17,3,2,36,0.17647058823529413,0.6666666666666666
expanding,34,1897147,0,0.0,18647,824,474,19751,0.044189413846731376,0.5752427184466019
expanding,34,1897147,0,1.0,2125,1081,711,6527,0.5087058823529412,0.6577243293246994
expanding,34,1897147,1,0.0,72,7,7,87,0.09722222222222222,1.0
expanding,34,1897147,1,1.0,150,62,56,1350,0.41333333333333333,0.9032258064516129
rolling_7d,34,1897147,0,0.0,18748,856,478,19860,0.045658203541711115,0.5584112149532711
rolling_7d,34,1897147,0,1.0,2024,1049,707,6418,0.5182806324110671,0.6739752144899904
rolling_7d,34,1897147,1,0.0,79,7,7,94,0.08860759493670886,1.0
rolling_7d,34,1897147,1,1.0,143,62,56,1343,0.43356643356643354,0.9032258064516129
expanding,34,1897148,0,0.0,2332,81,42,2568,0.034734133790737566,0.5185185185185185
expanding,34,1897148,0,1.0,460,254,188,787,0.5521739130434783,0.7401574803149606
expanding,34,1897148,1,0.0,7,0,0,9,0.0,
expanding,34,1897148,1,1.0,26,2,2,37,0.07692307692307693,1.0
rolling_7d,34,1897148,0,0.0,2342,83,42,2578,0.035439795046968404,0.5060240963855421
rolling_7d,34,1897148,0,1.0,450,252,188,777,0.56,0.746031746031746
rolling_7d,34,1897148,1,0.0,8,0,0,11,0.0,
rolling_7d,34,1897148,1,1.0,25,2,2,35,0.08,1.0
expanding,34,1897149,0,0.0,2470,128,84,2698,0.051821862348178135,0.65625
expanding,34,1897149,0,1.0,432,153,108,718,0.3541666666666667,0.7058823529411765
expanding,34,1897149,1,0.0,8,0,0,10,0.0,
expanding,34,1897149,1,1.0,30,6,6,45,0.2,1.0
rolling_7d,34,1897149,0,0.0,2490,129,85,2718,0.051807228915662654,0.6589147286821705
rolling_7d,34,1897149,0,1.0,412,152,107,698,0.36893203883495146,0.7039473684210527
rolling_7d,34,1897149,1,0.0,8,0,0,10,0.0,
rolling_7d,34,1897149,1,1.0,30,6,6,45,0.2,1.0
expanding,35,1897150,0,0.0,4834,182,91,5125,0.03764997931319818,0.5
expanding,35,1897150,0,1.0,609,214,154,1127,0.35139573070607555,0.719626168224299
expanding,35,1897150,1,0.0,14,1,0,16,0.07142857142857142,0.0
expanding,35,1897150,1,1.0,35,9,7,1071,0.2571428571428571,0.7777777777777778
rolling_7d,35,1897150,0,0.0,4865,187,94,5157,0.03843782117163412,0.5026737967914439
rolling_7d,35,1897150,0,1.0,578,209,151,1095,0.3615916955017301,0.722488038277512
rolling_7d,35,1897150,1,0.0,16,1,0,18,0.0625,0.0
rolling_7d,35,1897150,1,1.0,33,9,7,1069,0.2727272727272727,0.7777777777777778
expanding,35,1897151,0,0.0,2927,88,46,3012,0.030064912880081996,0.5227272727272727
expanding,35,1897151,0,1.0,474,181,131,1049,0.3818565400843882,0.7237569060773481
expanding,35,1897151,1,0.0,3,0,0,5,0.0,
expanding,35,1897151,1,1.0,17,5,4,26,0.29411764705882354,0.8
rolling_7d,35,1897151,0,0.0,2940,88,46,3026,0.029931972789115645,0.5227272727272727
rolling_7d,35,1897151,0,1.0,461,181,131,1035,0.3926247288503254,0.7237569060773481
rolling_7d,35,1897151,1,0.0,3,0,0,5,0.0,
rolling_7d,35,1897151,1,1.0,17,5,4,26,0.29411764705882354,0.8
expanding,35,1897152,0,0.0,3764,275,177,4122,0.0730605738575983,0.6436363636363637
expanding,35,1897152,0,1.0,905,307,253,1495,0.3392265193370166,0.8241042345276873
expanding,35,1897152,1,0.0,13,1,0,13,0.07692307692307693,0.0
expanding,35,1897152,1,1.0,56,14,9,82,0.25,0.6428571428571429
rolling_7d,35,1897152,0,0.0,3804,278,178,4165,0.07308096740273397,0.6402877697841727
rolling_7d,35,1897152,0,1.0,865,304,252,1452,0.3514450867052023,0.8289473684210527
rolling_7d,35,1897152,1,0.0,15,1,0,15,0.06666666666666667,0.0
rolling_7d,35,1897152,1,1.0,54,14,9,80,0.25925925925925924,0.6428571428571429
expanding,36,1897153,0,0.0,2182,150,39,2398,0.06874427131072411,0.26
expanding,36,1897153,0,1.0,434,154,90,902,0.3548387096774194,0.5844155844155844
expanding,36,1897153,1,0.0,4,0,0,4,0.0,
expanding,36,1897153,1,1.0,29,9,9,79,0.3103448275862069,1.0
rolling_7d,36,1897153,0,0.0,2216,154,41,2433,0.06949458483754513,0.2662337662337662
rolling_7d,36,1897153,0,1.0,400,150,88,867,0.375,0.5866666666666667
rolling_7d,36,1897153,1,0.0,4,0,0,4,0.0,
rolling_7d,36,1897153,1,1.0,29,9,9,79,0.3103448275862069,1.0
expanding,36,1897154,0,0.0,1951,55,26,2093,0.028190671450538187,0.4727272727272727
expanding,36,1897154,0,1.0,438,172,128,804,0.3926940639269406,0.7441860465116279
expanding,36,1897154,1,0.0,5,1,1,8,0.2,1.0
expanding,36,1897154,1,1.0,21,6,6,36,0.2857142857142857,1.0
rolling_7d,36,1897154,0,0.0,1978,58,27,2123,0.029322548028311426,0.46551724137931033
rolling_7d,36,1897154,0,1.0,411,169,127,774,0.41119221411192214,0.7514792899408284
rolling_7d,36,1897154,1,0.0,5,1,1,8,0.2,1.0
rolling_7d,36,1897154,1,1.0,21,6,6,36,0.2857142857142857,1.0
expanding,36,1897155,0,0.0,14424,674,355,15255,0.04672767609539656,0.526706231454006
expanding,36,1897155,0,1.0,1683,906,647,4731,0.5383244206773619,0.7141280353200883
expanding,36,1897155,1,0.0,70,5,5,87,0.07142857142857142,1.0
expanding,36,1897155,1,1.0,72,15,10,3012,0.20833333333333334,0.6666666666666666
rolling_7d,36,1897155,0,0.0,14555,714,388,15440,0.04905530745448299,0.5434173669467787
rolling_7d,36,1897155,0,1.0,1552,866,614,4546,0.5579896907216495,0.7090069284064665
rolling_7d,36,1897155,1,0.0,76,5,5,93,0.06578947368421052,1.0
rolling_7d,36,1897155,1,1.0,66,15,10,3006,0.22727272727272727,0.6666666666666666
expanding,37,1897161,0,0.0,7371,746,186,7802,0.10120743454076787,0.24932975871313673
expanding,37,1897161,0,1.0,965,446,291,1579,0.46217616580310883,0.6524663677130045
expanding,37,1897161,1,0.0,28,1,1,31,0.03571428571428571,1.0
expanding,37,1897161,1,1.0,30,3,2,46,0.1,0.6666666666666666
rolling_7d,37,1897161,0,0.0,7510,782,220,7969,0.10412782956058589,0.2813299232736573
rolling_7d,37,1897161,0,1.0,826,410,257,1412,0.4963680387409201,0.6268292682926829
rolling_7d,37,1897161,1,0.0,29,1,1,32,0.034482758620689655,1.0
rolling_7d,37,1897161,1,1.0,29,3,2,45,0.10344827586206896,0.6666666666666666
expanding,37,1897162,0,0.0,3583,75,40,3718,0.020932179737650013,0.5333333333333333
expanding,37,1897162,0,1.0,555,258,207,1095,0.4648648648648649,0.8023255813953488
expanding,37,1897162,1,0.0,4,0,0,4,0.0,
expanding,37,1897162,1,1.0,10,2,1,18,0.2,0.5
rolling_7d,37,1897162,0,0.0,3624,77,42,3763,0.021247240618101546,0.5454545454545454
rolling_7d,37,1897162,0,1.0,514,256,205,1050,0.4980544747081712,0.80078125
rolling_7d,37,1897162,1,0.0,4,0,0,4,0.0,
rolling_7d,37,1897162,1,1.0,10,2,1,18,0.2,0.5
expanding,37,1897163,0,0.0,3834,232,123,4259,0.0605112154407929,0.5301724137931034
expanding,37,1897163,0,1.0,869,389,322,1442,0.4476409666283084,0.8277634961439588
expanding,37,1897163,1,0.0,20,0,0,20,0.0,
expanding,37,1897163,1,1.0,37,7,6,53,0.1891891891891892,0.8571428571428571
rolling_7d,37,1897163,0,0.0,3874,233,124,4299,0.06014455343314404,0.5321888412017167
rolling_7d,37,1897163,0,1.0,829,388,321,1402,0.4680337756332931,0.8273195876288659
rolling_7d,37,1897163,1,0.0,20,0,0,20,0.0,
rolling_7d,37,1897163,1,1.0,37,7,6,53,0.1891891891891892,0.8571428571428571
expanding,38,1897168,0,0.0,12109,533,257,12996,0.04401684697332563,0.4821763602251407
expanding,38,1897168,0,1.0,1231,648,505,2918,0.5264012997562957,0.779320987654321
expanding,38,1897168,1,0.0,31,2,2,40,0.06451612903225806,1.0
expanding,38,1897168,1,1.0,38,6,5,151,0.15789473684210525,0.8333333333333334
rolling_7d,38,1897168,0,0.0,12303,592,316,13242,0.04811834511907665,0.5337837837837838
rolling_7d,38,1897168,0,1.0,1037,589,446,2672,0.5679845708775313,0.7572156196943973
rolling_7d,38,1897168,1,0.0,36,2,2,45,0.05555555555555555,1.0
rolling_7d,38,1897168,1,1.0,33,6,5,146,0.18181818181818182,0.8333333333333334
expanding,38,1897171,0,0.0,2488,65,31,2604,0.02612540192926045,0.47692307692307695
expanding,38,1897171,0,1.0,415,200,159,845,0.4819277108433735,0.795
expanding,38,1897171,1,0.0,7,0,0,10,0.0,
expanding,38,1897171,1,1.0,6,0,0,8,0.0,
rolling_7d,38,1897171,0,0.0,2516,65,31,2633,0.025834658187599363,0.47692307692307695
rolling_7d,38,1897171,0,1.0,387,200,159,816,0.5167958656330749,0.795
rolling_7d,38,1897171,1,0.0,7,0,0,10,0.0,
rolling_7d,38,1897171,1,1.0,6,0,0,8,0.0,
expanding,38,1897173,0,0.0,2751,121,63,2921,0.04398400581606689,0.5206611570247934
expanding,38,1897173,0,1.0,454,175,120,827,0.3854625550660793,0.6857142857142857
expanding,38,1897173,1,0.0,7,0,0,9,0.0,
expanding,38,1897173,1,1.0,16,0,0,23,0.0,
rolling_7d,38,1897173,0,0.0,2774,122,64,2945,0.04397981254506128,0.5245901639344263
rolling_7d,38,1897173,0,1.0,431,174,119,803,0.4037122969837587,0.6839080459770115
rolling_7d,38,1897173,1,0.0,7,0,0,9,0.0,
rolling_7d,38,1897173,1,1.0,16,0,0,23,0.0,
expanding,39,1897177,0,0.0,8894,297,153,9631,0.033393298853159434,0.5151515151515151
expanding,39,1897177,0,1.0,1114,586,418,2153,0.526032315978456,0.7133105802047781
expanding,39,1897177,1,0.0,20,0,0,20,0.0,
expanding,39,1897177,1,1.0,39,9,7,119,0.23076923076923078,0.7777777777777778
rolling_7d,39,1897177,0,0.0,9020,316,172,9774,0.03503325942350333,0.5443037974683544
rolling_7d,39,1897177,0,1.0,988,567,399,2010,0.5738866396761133,0.7037037037037037
rolling_7d,39,1897177,1,0.0,23,0,0,23,0.0,
rolling_7d,39,1897177,1,1.0,36,9,7,116,0.25,0.7777777777777778
expanding,39,1897179,0,0.0,3055,70,29,3167,0.022913256955810146,0.4142857142857143
expanding,39,1897179,0,1.0,465,220,181,688,0.4731182795698925,0.8227272727272728
expanding,39,1897179,1,0.0,4,0,0,4,0.0,
expanding,39,1897179,1,1.0,8,3,3,17,0.375,1.0
rolling_7d,39,1897179,0,0.0,3079,71,30,3193,0.023059434881455017,0.4225352112676056
rolling_7d,39,1897179,0,1.0,441,219,180,662,0.4965986394557823,0.821917808219178
rolling_7d,39,1897179,1,0.0,4,0,0,4,0.0,
rolling_7d,39,1897179,1,1.0,8,3,3,17,0.375,1.0
expanding,39,1897181,0,0.0,2742,101,55,2918,0.03683442742523705,0.5445544554455446
expanding,39,1897181,0,1.0,388,137,102,574,0.35309278350515466,0.7445255474452555
expanding,39,1897181,1,0.0,5,0,0,8,0.0,
expanding,39,1897181,1,1.0,14,5,5,29,0.35714285714285715,1.0
rolling_7d,39,1897181,0,0.0,2765,103,57,2941,0.03725135623869801,0.5533980582524272
rolling_7d,39,1897181,0,1.0,365,135,100,551,0.3698630136986301,0.7407407407407407
rolling_7d,39,1897181,1,0.0,5,0,0,8,0.0,
rolling_7d,39,1897181,1,1.0,14,5,5,29,0.35714285714285715,1.0
expanding,40,1897186,0,0.0,3191,138,67,3534,0.04324663115010968,0.4855072463768116
expanding,40,1897186,0,1.0,369,135,100,889,0.36585365853658536,0.7407407407407407
expanding,40,1897186,1,0.0,10,0,0,10,0.0,
expanding,40,1897186,1,1.0,21,1,1,23,0.047619047619047616,1.0
rolling_7d,40,1897186,0,0.0,3213,139,68,3556,0.04326174914410209,0.4892086330935252
rolling_7d,40,1897186,0,1.0,347,134,99,867,0.3861671469740634,0.7388059701492538
rolling_7d,40,1897186,1,0.0,11,0,0,11,0.0,
rolling_7d,40,1897186,1,1.0,20,1,1,22,0.05,1.0
expanding,40,1897187,0,0.0,2884,93,55,3019,0.032246879334257975,0.5913978494623656
expanding,40,1897187,0,1.0,334,120,93,584,0.3592814371257485,0.775
expanding,40,1897187,1,0.0,14,2,1,15,0.14285714285714285,0.5
expanding,40,1897187,1,1.0,10,1,1,23,0.1,1.0
rolling_7d,40,1897187,0,0.0,2911,93,55,3046,0.03194778426657506,0.5913978494623656
rolling_7d,40,1897187,0,1.0,307,120,93,557,0.39087947882736157,0.775
rolling_7d,40,1897187,1,0.0,14,2,1,15,0.14285714285714285,0.5
rolling_7d,40,1897187,1,1.0,10,1,1,23,0.1,1.0
expanding,40,1897188,0,0.0,6946,287,155,7398,0.04131874460120933,0.5400696864111498
expanding,40,1897188,0,1.0,852,390,294,1539,0.45774647887323944,0.7538461538461538
expanding,40,1897188,1,0.0,22,1,0,25,0.045454545454545456,0.0
expanding,40,1897188,1,1.0,35,5,4,78,0.14285714285714285,0.8
rolling_7d,40,1897188,0,0.0,7034,302,167,7512,0.04293431902189366,0.5529801324503312
rolling_7d,40,1897188,0,1.0,764,375,282,1425,0.4908376963350785,0.752
rolling_7d,40,1897188,1,0.0,22,1,0,25,0.045454545454545456,0.0
rolling_7d,40,1897188,1,1.0,35,5,4,78,0.14285714285714285,0.8
expanding,41,1897193,0,0.0,21421,913,455,22525,0.04262172634330797,0.49835706462212487
expanding,41,1897193,0,1.0,2837,1433,996,7976,0.5051110327811068,0.6950453593859037
expanding,41,1897193,1,0.0,61,0,0,65,0.0,
expanding,41,1897193,1,1.0,134,26,23,532,0.19402985074626866,0.8846153846153846
rolling_7d,41,1897193,0,0.0,21575,942,459,22708,0.04366164542294322,0.4872611464968153
rolling_7d,41,1897193,0,1.0,2683,1404,992,7793,0.5232948192322028,0.7065527065527065
rolling_7d,41,1897193,1,0.0,68,0,0,73,0.0,
rolling_7d,41,1897193,1,1.0,127,26,23,524,0.2047244094488189,0.8846153846153846
expanding,41,1897194,0,0.0,3297,148,69,3462,0.04488929329693661,0.46621621621621623
expanding,41,1897194,0,1.0,633,340,251,1308,0.5371248025276462,0.7382352941176471
expanding,41,1897194,1,0.0,5,0,0,5,0.0,
expanding,41,1897194,1,1.0,41,7,7,75,0.17073170731707318,1.0
rolling_7d,41,1897194,0,0.0,3328,150,69,3496,0.045072115384615384,0.46
rolling_7d,41,1897194,0,1.0,602,338,251,1274,0.5614617940199336,0.742603550295858
rolling_7d,41,1897194,1,0.0,6,0,0,6,0.0,
rolling_7d,41,1897194,1,1.0,40,7,7,74,0.175,1.0
expanding,41,1897197,0,0.0,3111,144,99,3437,0.04628736740597879,0.6875
expanding,41,1897197,0,1.0,515,254,181,848,0.49320388349514566,0.7125984251968503
expanding,41,1897197,1,0.0,10,2,2,11,0.2,1.0
expanding,41,1897197,1,1.0,27,3,3,36,0.1111111111111111,1.0
rolling_7d,41,1897197,0,0.0,3144,153,102,3474,0.04866412213740458,0.6666666666666666
rolling_7d,41,1897197,0,1.0,482,245,178,811,0.508298755186722,0.726530612244898
rolling_7d,41,1897197,1,0.0,12,2,2,13,0.16666666666666666,1.0
rolling_7d,41,1897197,1,1.0,25,3,3,34,0.12,1.0
expanding,42,1897202,0,0.0,7467,322,166,7796,0.043123074862729344,0.515527950310559
expanding,42,1897202,0,1.0,962,372,268,1701,0.3866943866943867,0.7204301075268817
expanding,42,1897202,1,0.0,29,1,1,32,0.034482758620689655,1.0
expanding,42,1897202,1,1.0,40,8,7,61,0.2,0.875
rolling_7d,42,1897202,0,0.0,7532,337,166,7867,0.044742432288900694,0.49258160237388726
rolling_7d,42,1897202,0,1.0,897,357,268,1630,0.3979933110367893,0.7507002801120448
rolling_7d,42,1897202,1,0.0,32,1,1,35,0.03125,1.0
rolling_7d,42,1897202,1,1.0,37,8,7,58,0.21621621621621623,0.875
expanding,42,1897204,0,0.0,2768,471,47,3205,0.17015895953757226,0.09978768577494693
expanding,42,1897204,0,1.0,512,201,166,1096,0.392578125,0.8258706467661692
expanding,42,1897204,1,0.0,4,0,0,4,0.0,
expanding,42,1897204,1,1.0,27,1,1,56,0.037037037037037035,1.0
rolling_7d,42,1897204,0,0.0,2793,472,48,3230,0.16899391335481562,0.1016949152542373
rolling_7d,42,1897204,0,1.0,487,200,165,1071,0.4106776180698152,0.825
rolling_7d,42,1897204,1,0.0,5,0,0,5,0.0,
rolling_7d,42,1897204,1,1.0,26,1,1,55,0.038461538461538464,1.0
expanding,42,1897206,0,0.0,3231,679,181,3664,0.21015165583410708,0.2665684830633284
expanding,42,1897206,0,1.0,536,169,123,814,0.31529850746268656,0.727810650887574
expanding,42,1897206,1,0.0,10,0,0,13,0.0,
expanding,42,1897206,1,1.0,28,2,2,38,0.07142857142857142,1.0
rolling_7d,42,1897206,0,0.0,3256,687,183,3692,0.21099508599508598,0.2663755458515284
rolling_7d,42,1897206,0,1.0,511,161,121,786,0.3150684931506849,0.7515527950310559
rolling_7d,42,1897206,1,0.0,13,0,0,16,0.0,
rolling_7d,42,1897206,1,1.0,25,2,2,35,0.08,1.0
expanding,43,1897211,0,0.0,12952,576,268,13895,0.044471896232242125,0.4652777777777778
expanding,43,1897211,0,1.0,1605,805,591,4760,0.5015576323987538,0.7341614906832298
expanding,43,1897211,1,0.0,16,0,0,24,0.0,
expanding,43,1897211,1,1.0,60,11,9,175,0.18333333333333332,0.8181818181818182
rolling_7d,43,1897211,0,0.0,13022,583,270,13977,0.04477038857318384,0.4631217838765009
rolling_7d,43,1897211,0,1.0,1535,798,589,4678,0.5198697068403909,0.7380952380952381
rolling_7d,43,1897211,1,0.0,19,0,0,27,0.0,
rolling_7d,43,1897211,1,1.0,57,11,9,172,0.19298245614035087,0.8181818181818182
expanding,43,1897212,0,0.0,3366,108,59,3522,0.03208556149732621,0.5462962962962963
expanding,43,1897212,0,1.0,524,264,223,759,0.5038167938931297,0.8446969696969697
