specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
expanding,18,1,1.0,39,4,2,0.10256410256410256,0.5
expanding,19,0,0.0,19042,913,470,0.047946644260056716,0.5147864184008762
expanding,19,0,1.0,2863,1772,1171,0.6189311910583304,0.6608352144469526
expanding,19,1,0.0,63,2,2,0.031746031746031744,1.0
expanding,19,1,1.0,69,20,12,0.2898550724637681,0.6
expanding,20,0,0.0,9464,360,179,0.03803888419273035,0.49722222222222223
expanding,20,0,1.0,1318,589,396,0.44688922610015175,0.6723259762308998
expanding,20,1,0.0,35,0,0,0.0,
expanding,20,1,1.0,42,3,1,0.07142857142857142,0.3333333333333333
expanding,21,0,0.0,20253,1138,530,0.05618920653730312,0.46572934973637964
expanding,21,0,1.0,2114,1215,732,0.5747398297067171,0.6024691358024692
expanding,21,1,0.0,114,4,3,0.03508771929824561,0.75
expanding,21,1,1.0,91,20,8,0.21978021978021978,0.4
expanding,22,0,0.0,21692,1052,572,0.04849714180342984,0.5437262357414449
expanding,22,0,1.0,2520,1480,1059,0.5873015873015873,0.7155405405405405
expanding,22,1,0.0,79,5,3,0.06329113924050633,0.6
expanding,22,1,1.0,67,9,5,0.13432835820895522,0.5555555555555556
expanding,23,0,0.0,12660,583,271,0.04605055292259084,0.4648370497427101
expanding,23,0,1.0,1853,1001,733,0.54020507285483,0.7322677322677322
expanding,23,1,0.0,50,3,2,0.06,0.6666666666666666
expanding,23,1,1.0,58,9,6,0.15517241379310345,0.6666666666666666
expanding,24,0,0.0,12106,528,256,0.043614736494300345,0.48484848484848486
expanding,24,0,1.0,1393,559,412,0.4012921751615219,0.7370304114490162
expanding,24,1,0.0,21,1,1,0.047619047619047616,1.0
expanding,24,1,1.0,79,20,18,0.25316455696202533,0.9
expanding,25,0,0.0,17839,967,509,0.054207074387577776,0.5263702171664943
expanding,25,0,1.0,2212,1222,809,0.5524412296564195,0.6620294599018003
expanding,25,1,0.0,90,18,18,0.2,1.0
expanding,25,1,1.0,90,22,14,0.24444444444444444,0.6363636363636364
expanding,26,0,0.0,13524,501,260,0.0370452528837622,0.5189620758483033
expanding,26,0,1.0,1784,1035,802,0.5801569506726457,0.77487922705314
expanding,26,1,0.0,47,4,3,0.0851063829787234,0.75
expanding,26,1,1.0,44,7,5,0.1590909090909091,0.7142857142857143
expanding,27,0,0.0,13307,704,391,0.05290448636056211,0.5553977272727273
expanding,27,0,1.0,2078,1071,857,0.5153994225216555,0.800186741363212
expanding,27,1,0.0,28,4,4,0.14285714285714285,1.0
expanding,27,1,1.0,66,10,8,0.15151515151515152,0.8
expanding,28,0,0.0,20332,1029,489,0.05060987605744639,0.4752186588921283
expanding,28,0,1.0,2968,1556,1171,0.5242587601078167,0.7525706940874036
expanding,28,1,0.0,79,11,10,0.13924050632911392,0.9090909090909091
expanding,28,1,1.0,125,24,22,0.192,0.9166666666666666
expanding,29,0,0.0,21606,1325,621,0.06132555771544941,0.46867924528301885
expanding,29,0,1.0,3374,1843,1289,0.5462359217545939,0.6994031470428649
expanding,29,1,0.0,92,8,5,0.08695652173913043,0.625
expanding,29,1,1.0,168,17,14,0.10119047619047619,0.8235294117647058
expanding,30,0,0.0,17654,641,368,0.0363090517729693,0.5741029641185648
expanding,30,0,1.0,2213,1137,899,0.5137821961138725,0.7906772207563765
expanding,30,1,0.0,49,1,1,0.02040816326530612,1.0
expanding,30,1,1.0,72,8,8,0.1111111111111111,1.0
expanding,31,0,0.0,12152,549,307,0.04517774851876234,0.5591985428051002
expanding,31,0,1.0,2224,862,675,0.38758992805755393,0.7830626450116009
expanding,31,1,0.0,36,2,2,0.05555555555555555,1.0
expanding,31,1,1.0,93,19,15,0.20430107526881722,0.7894736842105263
expanding,32,0,0.0,14292,607,313,0.04247131262244613,0.515650741350906
expanding,32,0,1.0,1817,794,539,0.4369840396257567,0.6788413098236776
expanding,32,1,0.0,36,5,4,0.1388888888888889,0.8
expanding,32,1,1.0,99,18,18,0.18181818181818182,1.0
expanding,33,0,0.0,18207,823,353,0.04520239468336354,0.4289185905224787
expanding,33,0,1.0,2439,1329,897,0.5448954489544895,0.6749435665914221
expanding,33,1,0.0,42,8,7,0.19047619047619047,0.875
expanding,33,1,1.0,86,12,8,0.13953488372093023,0.6666666666666666
