classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,20,1897093,1,0,3,0,0,3,0.0,
whale_volume,expanding_top1_primary,20,1897093,1,1,19,0,0,281,0.0,
whale_volume,expanding_top1_primary,21,1897094,0,0,14745,810,334,17073,0.054933875890132246,0.4123456790123457
whale_volume,expanding_top1_primary,21,1897094,0,1,1630,813,489,4372,0.49877300613496933,0.6014760147601476
whale_volume,expanding_top1_primary,21,1897094,1,0,67,3,3,78,0.04477611940298507,1.0
whale_volume,expanding_top1_primary,21,1897094,1,1,83,17,6,3221,0.20481927710843373,0.35294117647058826
whale_volume,expanding_top1_primary,21,1897095,0,0,2703,80,33,2802,0.029596744358120607,0.4125
whale_volume,expanding_top1_primary,21,1897095,0,1,555,298,201,786,0.5369369369369369,0.674496644295302
whale_volume,expanding_top1_primary,21,1897095,1,0,2,0,0,2,0.0,
whale_volume,expanding_top1_primary,21,1897095,1,1,15,0,0,21,0.0,
whale_volume,expanding_top1_primary,21,1897096,0,0,2257,118,45,2414,0.052281789986708016,0.3813559322033898
whale_volume,expanding_top1_primary,21,1897096,0,1,477,234,160,665,0.49056603773584906,0.6837606837606838
whale_volume,expanding_top1_primary,21,1897096,1,0,10,1,0,10,0.1,0.0
whale_volume,expanding_top1_primary,21,1897096,1,1,28,3,2,96,0.10714285714285714,0.6666666666666666
whale_volume,expanding_top1_primary,22,1897097,0,0,10652,732,400,11903,0.06871948929778446,0.546448087431694
whale_volume,expanding_top1_primary,22,1897097,0,1,1428,780,541,2665,0.5462184873949579,0.6935897435897436
whale_volume,expanding_top1_primary,22,1897097,1,0,27,3,2,33,0.1111111111111111,0.6666666666666666
whale_volume,expanding_top1_primary,22,1897097,1,1,56,6,3,688,0.10714285714285714,0.5
whale_volume,expanding_top1_primary,22,1897098,0,0,5538,140,72,5865,0.025279884434814014,0.5142857142857142
whale_volume,expanding_top1_primary,22,1897098,0,1,822,421,316,1387,0.5121654501216545,0.7505938242280285
whale_volume,expanding_top1_primary,22,1897098,1,0,4,0,0,4,0.0,
