market_id,market_subtype,trade_count,volume_usdc,first_trade_time,last_trade_time,yes_outcome_won,event_id,stage,market_role,median_baseline_price,mean_baseline_price,sample_minutes,sample_gross_volume_usdc,median_minutes_to_kickoff,expanding_included,rolling7_included
1897087,Match winner,14334,4122137.443359274,2026-06-01 03:10:05.000 UTC,2026-06-17 00:17:25.000 UTC,1.0,18,Group stage,away_win,0.815,0.8153323391563698,2347,1131860.59575473,1376.0,1,1
1897088,Match winner,33348,11127404.031608803,2026-06-01 00:33:16.000 UTC,2026-06-17 03:27:57.000 UTC,1.0,19,Group stage,home_win,0.705,0.6968817091138707,4751,4446932.0613814,2834.0,1,1
1897089,Match draw,8707,599279.5202789811,2026-06-01 11:34:23.000 UTC,2026-06-17 03:15:45.000 UTC,0.0,19,Group stage,draw,0.205,0.2060710382513661,1830,230530.2483644535,994.5,1,1
1897090,Match winner,7555,1338419.1251029803,2026-06-01 00:37:52.000 UTC,2026-06-17 03:12:45.000 UTC,0.0,19,Group stage,away_win,0.105,0.1060802775024777,2018,291507.6060242322,1296.5,1,1
1897091,Match winner,19194,3551266.2484893543,2026-06-01 00:25:02.000 UTC,2026-06-17 06:27:02.000 UTC,1.0,20,Group stage,home_win,0.715,0.7197128129602356,2037,1038697.4107607562,1287.0,1,1
1897092,Match draw,11570,786273.583382977,2026-06-01 05:15:30.000 UTC,2026-06-17 06:16:29.000 UTC,0.0,20,Group stage,draw,0.175,0.17953831041257365,1527,163009.9217367702,958.0,1,1
1897093,Match winner,9020,1025672.6978969848,2026-06-01 02:41:37.000 UTC,2026-06-17 06:18:14.000 UTC,0.0,20,Group stage,away_win,0.105,0.10304798962386512,1542,277232.83551991964,1307.5,1,1
1897094,Match winner,44210,7927666.413597967,2026-06-01 00:25:18.000 UTC,2026-06-17 19:17:55.000 UTC,0.0,21,Group stage,home_win,0.765,0.762015513733469,3932,2784113.803155843,2787.5,1,1
1897095,Match draw,13873,2617639.878539181,2026-06-01 05:16:58.000 UTC,2026-06-17 19:30:29.000 UTC,1.0,21,Group stage,draw,0.165,0.16813961255845025,1497,325800.8580928338,845.0,0,0
1897096,Match winner,11096,1446302.9433219766,2026-06-01 02:51:03.000 UTC,2026-06-17 19:18:01.000 UTC,0.0,21,Group stage,away_win,0.075,0.07500327439423707,1527,535679.3552998916,1007.0,0,0
1897097,Match winner,29088,9182515.648990918,2026-06-01 00:24:01.000 UTC,2026-06-17 22:31:49.000 UTC,1.0,22,Group stage,home_win,0.565,0.566163631494376,3734,5205471.2674947325,2976.5,1,1
1897098,Match draw,15938,1095224.3953729623,2026-06-01 05:17:00.000 UTC,2026-06-17 22:14:49.000 UTC,0.0,22,Group stage,draw,0.255,0.25474820143884896,2224,353055.7786966973,1287.5,1,1
1897099,Match winner,16714,2654591.174997305,2026-06-01 00:18:30.000 UTC,2026-06-17 22:18:25.000 UTC,0.0,22,Group stage,away_win,0.185,0.1825443563608909,2649,935518.5265233159,2052.0,1,1
1897100,Match winner,20362,6818436.869235829,2026-06-01 05:17:01.000 UTC,2026-06-18 01:25:01.000 UTC,1.0,23,Group stage,home_win,0.425,0.42770218474511307,2609,4590643.468824746,1537.0,1,1
1897101,Match draw,11373,1698673.846639983,2026-06-01 08:25:28.000 UTC,2026-06-18 01:13:59.000 UTC,0.0,23,Group stage,draw,0.295,0.2930517456359102,1604,684661.9355094566,914.5,0,0
1897102,Match winner,11373,1338621.7127959696,2026-06-01 01:37:57.000 UTC,2026-06-18 01:17:55.000 UTC,0.0,23,Group stage,away_win,0.285,0.282708102108768,1802,659182.6176918094,1191.5,1,0
1897103,Match winner,7669,1457906.8298699944,2026-06-01 01:13:06.000 UTC,2026-06-18 04:18:52.000 UTC,0.0,24,Group stage,home_win,0.095,0.09561585365853659,1640,836426.2836500929,1153.5,1,1
1897104,Match draw,8675,682170.2816759899,2026-06-01 05:17:03.000 UTC,2026-06-18 04:14:29.000 UTC,0.0,24,Group stage,draw,0.195,0.19577405857740587,1434,198571.4191360264,960.5,1,1
1897105,Match winner,19046,11290267.675525352,2026-06-01 00:30:14.000 UTC,2026-06-18 04:30:20.000 UTC,1.0,24,Group stage,away_win,0.705,0.7081914460285132,2455,9074134.167909129,1356.0,1,1
1897106,Match winner,37143,12040612.698305828,2026-06-01 02:01:12.000 UTC,2026-06-18 18:12:17.000 UTC,0.0,25,Group stage,home_win,0.545,0.5369565217391304,2714,8537537.32055777,1597.5,1,1
1897107,Match draw,12258,2261711.765673028,2026-06-01 08:51:48.000 UTC,2026-06-18 18:17:43.000 UTC,1.0,25,Group stage,draw,0.265,0.2605758807588076,1476,1077563.169909309,812.5,0,0
1897108,Match winner,8151,1447242.6922609836,2026-06-01 10:56:42.000 UTC,2026-06-18 18:11:14.000 UTC,0.0,25,Group stage,away_win,0.205,0.20538787023977434,1418,435389.0231590956,837.0,0,0
1897109,Match winner,20597,4260206.544844476,2026-06-01 00:24:17.000 UTC,2026-06-18 21:15:10.000 UTC,1.0,26,Group stage,home_win,0.625,0.6209012199921291,2541,1288689.635728849,1635.0,1,1
